student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,aptitude_score,projects,placed,company_type,package_lpa
1,Male,20,BE,Mechanical,8.4,2,2,2,1,3,69,0,0,None,0
2,Female,20,BTech,Electrical,8.6,2,0,5,1,9,81,4,0,None,0
3,Male,22,BCA,Electrical,6.62,3,0,1,1,7,50,1,0,None,0
4,Male,24,BCA,DS,8.01,0,0,4,4,7,47,4,0,None,0
5,Male,24,BCA,Electrical,9.12,2,1,2,4,4,77,4,0,None,0
6,Female,22,BSc,CS,6.77,1,3,4,8,1,67,2,1,Service,13.15
7,Male,23,BSc,CS,9.36,1,0,4,5,8,51,4,0,None,0
8,Male,20,BSc,CS,8.17,2,0,2,10,10,84,3,1,Product,8.98
9,Male,20,BSc,IT,7.32,3,3,4,4,9,73,3,0,None,0
10,Female,22,BE,CS,8.18,3,0,3,8,4,70,4,1,Service,13.4
11,Male,22,BE,CS,7.23,3,2,1,7,1,94,4,1,Startup,4.16
12,Male,23,BCA,DS,9.1,2,0,0,6,9,60,3,1,Product,7.27
13,Male,24,BSc,Mechanical,7.57,3,0,1,2,5,55,1,0,None,0
14,Male,21,BCA,Mechanical,9.38,3,1,0,5,6,63,0,1,Product,6.64
15,Female,24,BTech,CS,7.69,1,1,3,2,2,61,3,0,None,0
16,Male,20,BSc,CS,8.34,0,2,1,6,5,97,2,1,Startup,6.61
17,Female,22,BSc,CS,9.79,1,3,3,9,1,52,3,0,None,0
18,Female,23,BCA,Electrical,6.13,2,2,2,9,3,48,0,0,None,0
19,Female,24,BCA,DS,8.67,1,3,0,6,1,84,3,1,Product,9.24
20,Male,23,BTech,DS,6.1,0,0,2,4,1,86,5,0,None,0
21,Female,24,BCA,DS,9.11,1,1,2,10,9,47,0,0,None,0
22,Male,20,BSc,Mechanical,8.06,3,2,1,9,6,62,1,1,Startup,12.58
23,Female,21,BE,IT,9.53,0,2,4,5,8,88,1,1,Product,6.63
24,Female,23,BTech,Mechanical,9.22,2,1,4,8,5,49,4,0,None,0
25,Female,23,BTech,DS,5.82,1,3,3,9,9,80,1,0,None,0
26,Female,21,BSc,AI,6.09,1,0,1,5,4,95,3,0,None,0
27,Female,23,BE,IT,8.09,3,3,2,6,10,56,2,0,None,0
28,Female,23,BCA,CS,7.73,0,1,5,4,8,68,3,0,None,0
29,Female,24,BCA,Electrical,6.22,3,0,3,1,6,88,1,0,None,0
30,Female,24,BE,Mechanical,6.06,1,3,2,1,10,90,2,0,None,0
31,Male,21,BE,Electrical,7.93,1,0,3,5,5,90,1,1,Product,9.56
